name,artist,album,release_date,popularity
Espresso,Sabrina Carpenter,Short n' Sweet,2024-08-23,90
Traitor,Olivia Rodrigo,SOUR,2021-05-21,89
Fix You,Coldplay,X&Y,2005-06-07,88
Please Please Please,Sabrina Carpenter,Short n' Sweet,2024-08-23,88
About You,The 1975,Being Funny In A Foreign Language,2022-10-14,88
Tennessee Whiskey,Chris Stapleton,Traveller,2015-05-04,88
360,Charli Xcx,BRAT,2024-06-07,83
Clarity,Zedd,Clarity,2012-01-01,81
Euphoria,Kendrick Lamar,euphoria,2024-04-30,80
One Of Your Girls,Troye Sivan,Something To Give Each Other,2023-10-13,77
Yeah Glo!,Glorilla,Ehhthang Ehhthang,2024-04-05,76
Mirrorball,Taylor Swift,folklore,2020-07-24,76
Need You Now,Lady A,Need You Now,2010-01-01,76
The Smallest Man Who Ever Lived,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,75
"So Long, London",Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,74
Girl Crush,Little Big Town,Pain Killer,2014-10-17,71
Ghostin,Ariana Grande,"thank u, next",2019-02-08,71
Skeeyee,Sexyy Red,Hood Hottest Princess,2023-06-09,69
I Hope You Dance,Lee Ann Womack,I Hope You Dance,2000-01-01,66
The Body Is A Blade,Japanese Breakfast,Soft Sounds from Another Planet,2017-07-14,49
En El Olvido,Omar Apollo,Ivory,2022-04-08,46
